þÿTipo esercizio storico pe;Insegna;Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Forma commercio;Forma commercio prev;Forma vendita;Settore storico pe;Superficie somministrazione
bar caffÿý;caffe  moda maffei;"VIA MAFFEI ANDREA N. 10 ; isolato:069; accesso: accesso esterno; (z.d. 4)";VIA;MAFFEI ANDREA;10;3191;4;solo somministrazione;somministrazione;misto;"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý";92
bar caffÿý;caffe mokarabia;"VIA PADOVA N. 95 ; isolato:298; accesso: accesso esterno; (z.d. 2)";VIA;PADOVA;95;2275;2;somministrazione/minuto;minuto;al banco;"BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili";43
bar caffÿý;caffe  mokarabia;"VIA PLANA GIOVANNI ANTONIO N. 30 ; isolato:332; accesso: accesso esterno; (z.d. 8)";VIA;PLANA GIOVANNI ANTONIO;30;7177;8;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Tavola fredda;Giochi Legge 388/2000;Genere Merceol.Autorizz.Sanit.";53
bar caffÿý;caffe mokito tabacchi;"VIA COMASINA N. 81 ; isolato:006; accesso: accesso esterno; (z.d. 9)";VIA;COMASINA;81;1573;9;somministrazione/minuto;minuto;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";30
bar caffÿý;caffe  monti;"VIA MONTI VINCENZO N. 29 ; isolato:231; accesso: accesso esterno; (z.d. 1)";VIA;MONTI VINCENZO;29;6155;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Bar gastronomici e simili;Prodotti di gastronomia";73
bar caffÿý;caffe ninfea mokito;"VLE LUCANIA N. 33 ; isolato:028; accesso: accesso esterno; (z.d. 4)";VLE;LUCANIA;33;4173;4;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Tavola fredda;BAR CAFFÿý";53
bar caffÿý;caffe  novecento;"CSO COMO N. 9 ; isolato:317; accesso: accesso esterno; (z.d. 9)";CSO;COMO;9;1111;9;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Tavola fredda";88
bar caffÿý;caffe  piola;"PLE PIOLA GABRIO N. 12 ; isolato:047; accesso: accesso esterno; (z.d. 3)";PLE;PIOLA GABRIO;12;2216;3;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Disco-piano-americ.bar serali;Tavola calda;Cibi cotti preconfezionati;Bar pasticc.gelat.crem.creper.;BAR CAFFÿý E SIMILI;Tavola fredda";142
bar caffÿý;caffe  ponte nuovo;"VIA SAN MARCO N. 14 ; isolato:249; accesso: accesso esterno; (z.d. 1)";VIA;SAN MARCO;14;1036;1;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;Prodotti di gastronomia;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Giochi Legge 388/2000";78
bar caffÿý;caffe  portioli;"VIA ANTONINI GIACOMO N. 58 ; isolato:100; accesso: accesso esterno; (z.d. 5)";VIA;ANTONINI GIACOMO;58;4250;5;somministrazione/minuto;minuto;al banco;"BAR CAFFÿý E SIMILI;BAR CAFFÿý;Pizzerie e simili;BAR CAFFÿý E SIMILI";20
bar caffÿý;caffe  portioli;"VIA ASELLI GASPARE N. 5 ; isolato:194; accesso: accesso esterno; (z.d. 3)";VIA;ASELLI GASPARE;5;3167;3;somministrazione/minuto;somministrazione;misto;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.";27
bar caffÿý;caffe rio;"VIA TURRONI GEROLAMO N. 2 ; isolato:213; accesso: accesso esterno; (z.d. 4)";VIA;TURRONI GEROLAMO;2;3099;4;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Ristorante, trattoria, osteria;Tavola calda;BAR CAFFÿý";49
bar caffÿý;caffe  ristretto;"VLE TOSCANA N. 17 ; isolato:169; accesso: accesso esterno; (z.d. 5)";VLE;TOSCANA;17;4210;5;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Prodotti di gastronomia;Tavola fredda";59
bar caffÿý;caffe sant lorenzo;"VIA URBANO III N. 2 ;via urbano iii 002; isolato:276; accesso: accesso esterno; (z.d. 1)";VIA;URBANO III;2;588;1;solo somministrazione;somministrazione;misto;"Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";30
bar caffÿý;caffe  sarpi;"VIA SARPI FRA' PAOLO N. 60 ; isolato:071; accesso: accesso esterno; (z.d. 8)";VIA;SARPI FRA' PAOLO;60;7210;8;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda;Cibi cotti preconfezionati";93
bar caffÿý;caffe  s.biagio;"CSO ITALIA N. 11 ;cso italia 011; isolato:355; accesso: accesso esterno; (z.d. 1)";CSO;ITALIA;11;526;1;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Cibi cotti preconfezionati;Tavola fredda;BAR CAFFÿý";79
bar caffÿý;caffe  scala;"VIA SANTA MARGHERITA N. 14 ;via santa margherita 014; isolato:414; accesso: accesso esterno; (z.d. 1)";VIA;SANTA MARGHERITA;14;108;1;solo somministrazione;somministrazione;misto;"Tavola calda;Cibi cotti preconfezionati;Tav.calde,self service,fast f.;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Bar gastronomici e simili;BAR CAFFÿý E SIMILI";83
bar caffÿý;caffe si;"VIA BALILLA N. 30 ; isolato:131; accesso: accesso esterno; (z.d. 5)";VIA;BALILLA;30;5207;5;solo somministrazione;somministrazione;al banco;"Giochi Legge 388/2000;Cibi cotti preconfezionati;Giochi Legge 388/2000;Bar gastronomici e simili;BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000";91
bar caffÿý;caffe  si;"VIA CERVA N. 1 angolo l.go augusto (udi);via cerva 001; isolato:318; accesso: accesso esterno; (z.d. 1)";VIA;CERVA;1;314;1;somministrazione/minuto;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda";21
bar caffÿý;caffe  statuto;"VIA STATUTO N. 21 ; isolato:173; accesso: accesso esterno; (z.d. 1)";VIA;STATUTO;21;1029;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Tav.calde,self service,fast f.;Bar gastronomici e simili;Cibi cotti preconfezionati;Tavola calda";98
bar caffÿý;caffe sudam;"VIA BERGOGNONE AMBROGIO DA FOSSANO N. 47 ; isolato:033; accesso: accesso esterno; (z.d. 6)";VIA;BERGOGNONE AMBROGIO DA FOSSANO;47;5130;6;solo somministrazione;somministrazione;misto;"Giochi Legge 388/2000;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;BAR CAFFÿý;Giochi Legge 388/2000";79
bar caffÿý;caffe sudan;"VIA SCROSATI LUIGI N. 9 ; isolato:074; accesso: accesso esterno; (z.d. 6)";VIA;SCROSATI LUIGI;9;6488;6;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.";61
bar caffÿý;caffeteria cosmai;"VLE MONZA N. 311 ; isolato:038; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;311;2274;2;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Tavola fredda;Prodotti di gastronomia";41
bar caffÿý;caffeteria fontana;"VIA FONTANA N. 17 ; isolato:033; accesso: accesso esterno; (z.d. 1)";VIA;FONTANA;17;3058;1;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;Tavola fredda;BAR CAFFÿý;Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI";60
bar caffÿý;caffe tiziano;"VIA TIZIANO VECELLIO N. 21 ; isolato:165; accesso: accesso esterno; (z.d. 8)";VIA;TIZIANO VECELLIO;21;6380;8;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.";64
bar caffÿý;caffe  torino;"VIA TORINO N. 49 ;via torino 049; isolato:397; accesso: accesso esterno; (z.d. 1)";VIA;TORINO;49;543;1;solo somministrazione;somministrazione;al banco;"Gelateria;Cibi cotti preconfezionati;Tavola fredda;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";89
bar caffÿý;caffe torrital;"VIA FOPPA VINCENZO N. 22 ; isolato:298; accesso: accesso esterno; (z.d. 7)";VIA;FOPPA VINCENZO;22;6109;7;somministrazione/minuto;minuto;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda;Elettr.Automatici Meccaniche;LETT. GIOCHI LECITI + SOCIETA';Cibi cotti preconfezionati";142
bar caffÿý;caffet.pastic.whashington;"VIA WASHINGTON GIORGIO N. 104 ; isolato:001; accesso: accesso esterno; (z.d. 6)";VIA;WASHINGTON GIORGIO;104;6111;6;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Bar pasticc.gelat.crem.creper.;BAR CAFFÿý;Gelateria";28
bar caffÿý;caffetteria;"CSO GARIBALDI GIUSEPPE N. 34 ; isolato:172; accesso: accesso esterno; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;34;1010;1;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Cibi cotti preconfezionati;BAR CAFFÿý";50
bar caffÿý;caffetteria al 71;"VLE MONTE NERO N. 71 ; isolato:054; accesso: accesso esterno; (z.d. 1)";VLE;MONTE NERO;71;3062;1;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý;Giochi Legge 388/2000;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Tavola fredda";51
bar caffÿý;caffetteria anni 50;"VIA TERTULLIANO N. 37 ; isolato:147; accesso: accesso esterno; (z.d. 4)";VIA;TERTULLIANO;37;4094;4;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Cibi cotti preconfezionati";59
bar caffÿý;caffetteria barocco;"VIA MONTI VINCENZO num.029/33 /33; isolato:231; accesso: accesso esterno; (z.d. 1)";VIA;DE AMICIS EDMONDO;24;574;1;solo somministrazione;somministrazione;al banco;"Wine,birr.,pub enot.,caff.,the;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda;BAR CAFFÿý E SIMILI";44
bar caffÿý;caffetteria bar tabacchi;"VIA VERRO BERNARDINO N. 19 ; isolato:038; accesso: accesso esterno; (z.d. 5)";VIA;VERRO BERNARDINO;19;4223;5;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Bar gastronomici e simili;Tavola fredda";51
bar caffÿý;caffetteria bar tav.fredd;"VIA NOVATI FRANCESCO N. 6 ;via novati francesco 006; isolato:279; accesso: accesso esterno; (z.d. 1)";VIA;NOVATI FRANCESCO;6;550;1;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý;Prodotti di gastronomia";50
bar caffÿý;caffetteria blu bar;"VLE SAN GIMIGNANO num.008/a ; isolato:072; accesso: accesso esterno; (z.d. 6)";VIA;ARZAGA;24;6674;6;solo somministrazione;somministrazione;al banco;"Giochi Legge 388/2000;BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI";30
bar caffÿý;caffetteria dante;"VIA SANTA MARIA SEGRETA N. 6 ;via santa maria segreta 006; isolato:409; accesso: accesso esterno; (z.d. 1)";VIA;SANTA MARIA SEGRETA;6;624;1;somministrazione/minuto;minuto;al banco;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý;Tavola fredda;BAR CAFFÿý E SIMILI;Giochi Legge 388/2000";54
bar caffÿý;caffetteria del corso;"CSO BUENOS AIRES N. 10 ; isolato:140; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;10;2129;3;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý E SIMILI;Tavola fredda;Prodotti di gastronomia;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";29
bar caffÿý;caffetteria del corso;"CSO COLOMBO CRISTOFORO N. 5 ; isolato:053; accesso: accesso esterno; (z.d. 6)";CSO;COLOMBO CRISTOFORO;5;5114;6;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";27
bar caffÿý;caffetteria della moscova;"VIA DELLA MOSCOVA N. 46 ; isolato:086; accesso: accesso esterno; (z.d. 1)";VIA;DELLA MOSCOVA;46;1016;1;somministrazione/minuto;somministrazione;misto;"BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.";47
bar caffÿý;caffetteria della musica;"VIA FRIULI N. 34 ; isolato:142; accesso: accesso esterno; (z.d. 4)";VIA;FRIULI;34;3199;4;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";45
bar caffÿý;caffetteria e bookshop;"VIA DELLA MOSCOVA num.028/30 /30; accesso: accesso esterno; (z.d. 1)";VIA;CAMINADELLA;2;551;1;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý;Tavola fredda;Cibi cotti preconfezionati";88
bar caffÿý;caffetteria fantasy;"VIA MASANIELLO N. 14 ; isolato:132; accesso: accesso esterno; (z.d. 7)";VIA;MASANIELLO;14;6768;7;solo somministrazione;somministrazione;al banco;BAR CAFFÿý E SIMILI;50
bar caffÿý;caffetteria in;"VIA CARNEVALI ANTONIO N. 113 ; isolato:037; accesso: accesso esterno; (z.d. 9)";VIA;CARNEVALI ANTONIO;113;1268;9;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Tavola fredda";42
bar caffÿý;caffetteria inganni;"VIA INGANNI ANGELO N. 81 ; isolato:054; accesso: accesso esterno; (z.d. 6)";VIA;INGANNI ANGELO;81;6672;6;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Bar pasticc.gelat.crem.creper.;Bar pasticc.gelat.crem.creper.;BAR CAFFÿý E SIMILI;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Bar gastronomici e simili";54
bar caffÿý;caffetteria isola;"VIA BORSIERI PIETRO N. 29 ; isolato:266; accesso: accesso esterno; (z.d. 9)";VIA;BORSIERI PIETRO;29;1128;9;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili";28
bar caffÿý;caffetteria istria;"PLE ISTRIA N. 1 ; isolato:028; accesso: accesso esterno; (z.d. 9)";PLE;ISTRIA;1;1347;9;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÿý";31
bar caffÿý;caffetteria latteria;"VIA IMBONATI CARLO N. 67 ; isolato:059; accesso: accesso esterno; (z.d. 9)";VIA;IMBONATI CARLO;67;1311;9;somministrazione/minuto;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÿý;BAR CAFFÿý E SIMILI";43
bar caffÿý;caffetteria marochetti;"VIA MAROCHETTI CARLO N. 19 ; isolato:069; accesso: accesso esterno; (z.d. 4)";VIA;MAROCHETTI CARLO;19;4185;4;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda";19
bar caffÿý;caffetteria novecento;"VIA PARMIGIANINO N. 16 ; isolato:207; accesso: accesso esterno; (z.d. 7)";VIA;PARMIGIANINO;16;6599;7;solo somministrazione;somministrazione;misto;"Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";114
bar caffÿý;caffetteria oasi tav.fred;"VIA MECENATE N. 25 ; isolato:078; accesso: accesso interno; (z.d. 4)";VIA;MECENATE;25;3323;4;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda";25
bar caffÿý;caffetteria pasticceria;"VIA VIGEVANO N. 45 ; isolato:051; accesso: accesso esterno; (z.d. 6)";VIA;VIGEVANO;45;5116;6;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Bar pasticc.gelat.crem.creper.";25
bar caffÿý;caffetteria porta romana;"CSO LODI N. 7 ; isolato:168; accesso: accesso esterno; (z.d. 4)";CSO;LODI;7;4068;4;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Cibi cotti preconfezionati;BAR CAFFÿý E SIMILI";56
bar caffÿý;caffetteria schiavoni;"VIA VARCHI BENEDETTO N. 4 ; isolato:036; accesso: accesso esterno; (z.d. 9)";VIA;VARCHI BENEDETTO;4;1252;9;solo somministrazione;somministrazione;al banco;Bar gastronomici e simili;33
bar caffÿý;caffetteria spontini;"CSO BUENOS AIRES N. 60 con ingresso in via spontini; isolato:036; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;60;2129;3;solo somministrazione;somministrazione;misto;"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;BAR CAFFÿý";32
bar caffÿý;caffetteria s.stefano;"VIA BERGAMINI N. 5 ;pza santo stefano 000; isolato:324; accesso: accesso esterno; (z.d. 1)";VIA;BERGAMINI;5;325;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Cibi cotti preconfezionati;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;Tavola fredda";132
bar caffÿý;caffetteria stringaro;"VIA RAVIZZA CARLO N. 21 ; isolato:210; accesso: accesso esterno; (z.d. 7)";VIA;RAVIZZA CARLO;21;6285;7;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý;Tavola fredda;Cibi cotti preconfezionati";130
bar caffÿý;caffetter. l angolo rosso;"VLE SAURO NAZARIO N. 5 ; isolato:231; accesso: accesso esterno; (z.d. 2)";VLE;SAURO NAZARIO;5;1175;2;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda";50
bar caffÿý;caffett.pasticc.gelateria;"VIA ASTESANI ALESSANDRO N. 42 ; isolato:091; accesso: accesso esterno; (z.d. 9)";VIA;ASTESANI ALESSANDRO;42;1558;9;solo somministrazione;somministrazione;misto;"Bar pasticc.gelat.crem.creper.;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Tavola fredda";57
bar caffÿý;caffett.pasticc.gelateria;"VIA PADOVA N. 286 ; isolato:241; accesso: accesso esterno; (z.d. 2)";VIA;PADOVA;286;2275;2;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Bar pasticc.gelat.crem.creper.;Tavola fredda";47
bar caffÿý;caffe  turr;"VIA FARAVELLI LUIGI GIUSEPPE N. 18 ; isolato:340; accesso: accesso esterno; (z.d. 8)";VIA;FARAVELLI LUIGI GIUSEPPE;18;7162;8;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Tavola fredda";30
bar caffÿý;caffe  varanini;"VIA NOVARA N. 123 ; isolato:038; accesso: accesso esterno; (z.d. 7)";VIA;NOVARA;123;6624;7;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda";47
bar caffÿý;caffe varanini sole e lun;"VIA CALZECCHI TEMISTOCLE N. 2 ; isolato:165; accesso: accesso esterno; (z.d. 3)";VIA;CALZECCHI TEMISTOCLE;2;3241;3;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý E SIMILI;BAR CAFFÿý;Tavola fredda;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000";31
bar caffÿý;caffe  vecchia brera;"VIA DELL' ORSO N. 20 ;via dell' orso 020; isolato:307; accesso: accesso esterno; (z.d. 1)";VIA;DELL' ORSO;20;123;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Tav.calde,self service,fast f.;Pizzerie e simili;Wine,birr.,pub enot.,caff.,the;Pizzeria;Ristorante, trattoria, osteria;Bar pasticc.gelat.crem.creper.;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI";129
bar caffÿý;caffe  venezia;"CSO VENEZIA N. 18 ;cso venezia 018; isolato:187; accesso: accesso esterno; (z.d. 1)";CSO;VENEZIA;18;238;1;;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý;Tavola fredda";52
bar caffÿý;caffe  verdi;"VIA VERDI GIUSEPPE N. 6 ;via verdi giuseppe 006; isolato:365; accesso: accesso esterno; (z.d. 1)";VIA;VERDI GIUSEPPE;6;118;1;solo somministrazione;somministrazione;misto;"Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;BAR CAFFÿý E SIMILI";84
bar caffÿý;caffe victor hugo;"VIA HUGO VICTOR N. 4 ;via spadari 000; isolato:437; accesso: accesso esterno; (z.d. 1)";VIA;HUGO VICTOR;4;548;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.";71
bar caffÿý;caffe  zaire;"VLE PISA N. 4 ; isolato:199; accesso: accesso esterno; (z.d. 7)";VLE;PISA;4;6615;7;solo somministrazione;somministrazione;al banco;"BAR CAFFÿý E SIMILI;Tavola fredda;Giochi Legge 388/2000;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.";32
bar caffÿý;caf.pastic.antica sicilia;"VIA MATTEUCCI CARLO N. 4 ; isolato:029; accesso: accesso esterno; (z.d. 3)";VIA;MATTEUCCI CARLO;4;2167;3;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Tavola calda;BAR CAFFÿý";36
bar caffÿý;california bakery;"VLE PREMUDA N. 44 ; isolato:002; accesso: accesso esterno; (z.d. 4)";VLE;PREMUDA;44;3063;4;solo somministrazione;somministrazione;al banco;"Tavola fredda;Bar pasticc.gelat.crem.creper.;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Wine,birr.,pub enot.,caff.,the";65
bar caffÿý;camaleonte cafe;"VIA USSI STEFANO N. 1 ; isolato:165; accesso: accesso esterno; (z.d. 9)";VIA;USSI STEFANO;1;1437;9;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Pizzeria;Wine,birr.,pub enot.,caff.,the;Ristorante, trattoria, osteria;Ristorante;Genere Merceol.Autorizz.Sanit.";131
bar caffÿý;campari-campari lanson;"VIA LIPARI N. 2 ; isolato:271; accesso: accesso esterno; (z.d. 7)";VIA;LIPARI;2;6203;7;;somministrazione;al banco;"BAR CAFFÿý E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";51
bar caffÿý;campus cafe;"VIA DURANDO GIOVANNI N. 8 ; isolato:015; accesso: accesso esterno; (z.d. 9)";VIA;DURANDO GIOVANNI;8;1466;9;solo somministrazione;somministrazione;al banco;"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÿý";60
bar caffÿý;campus cafe;"VIA FESTA DEL PERDONO N. 12 ;via festa del perdono 012; isolato:325; accesso: accesso esterno; (z.d. 1)";VIA;FESTA DEL PERDONO;12;327;1;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Tavola fredda;Ristorante;Genere Merceol.Autorizz.Sanit.";67
bar caffÿý;cantiere dei sensi;"VIA CARMAGNOLA N. 5 ; isolato:270; accesso: accesso esterno; (z.d. 9)";VIA;CARMAGNOLA;5;1129;9;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFFÿý;Bar gastronomici e simili;Tavola fredda;Cibi cotti preconfezionati";110
bar caffÿý;cantina manuela;"VIA SANZIO RAFFAELLO N. 16 ; isolato:191; accesso: accesso esterno; (z.d. 7)";VIA;SANZIO RAFFAELLO;16;6283;7;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÿý E SIMILI;BAR CAFFÿý";48
bar caffÿý;cantina tropicana;"VIA POLIZIANO N. 7 ; isolato:049; accesso: accesso esterno; (z.d. 8)";VIA;POLIZIANO;7;7196;8;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Tavola calda";57
bar caffÿý;cantine di manuela;"VIA CAPPONI PIER LUIGI N. 1 con ingresso da piazza wagner; isolato:034; accesso: accesso esterno; (z.d. 7)";VIA;CAPPONI PIER LUIGI;1;6249;7;solo somministrazione;somministrazione;al banco;"Cibi cotti preconfezionati;BAR CAFFÿý E SIMILI;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÿý";74
bar caffÿý;cantine montegrappa;"VLE MONTE GRAPPA N. 6 ; isolato:329; accesso: accesso interno; (z.d. 9)";VLE;MONTE GRAPPA;6;1101;9;solo somministrazione;somministrazione;misto;"BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Wine,birr.,pub enot.,caff.,the;Cibi cotti preconfezionati";77
bar caffÿý;cantine zara;"VLE ZARA N. 118 ; isolato:086; accesso: accesso esterno; (z.d. 2)";VLE;ZARA;118;1170;2;solo somministrazione;somministrazione;al banco;"Wine,birr.,pub enot.,caff.,the;Genere Merceol.Autorizz.Sanit.";59
bar caffÿý;capetown cafe;"VIA VIGEVANO N. 3 ; isolato:057; accesso: accesso esterno; (z.d. 6)";VIA;VIGEVANO;3;5116;6;solo somministrazione;somministrazione;al banco;"Tavola fredda;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý";64
bar caffÿý;carive;"VIA BESSARIONE N. 30 ; isolato:120; accesso: accesso esterno; (z.d. 4)";VIA;BESSARIONE;30;4152;4;solo somministrazione;somministrazione;misto;"Ristorante;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý";126
bar caffÿý;carnabi bar;"VIA CUSANI N. 10 ;via cusani 010; isolato:293; accesso: accesso esterno; (z.d. 1)";VIA;CUSANI;10;719;1;solo somministrazione;somministrazione;al banco;"Prodotti di gastronomia;Giochi Legge 388/2000;BAR CAFFÿý E SIMILI;BAR CAFFÿý";110
