Tipo esercizio storico,Insegna,Tipo via,Nome via,Civico,Codice via,ZD,Forma commercio,Forma commercio prev,Forma vendita,Settore storico,Superficie somministrazione,Isolato,Accesso
bar-caffe',bar caffe,VIA,TOSELLI PIETRO,2,2360,2,somministrazione,somministrazione,al banco,"bar-caffe';ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;tavola fredda",83, 262, accesso esterno
bar-caffe',bar caffe,VIA,VALLARSA,11,4142,5,somministrazione,somministrazione,misto,bar-caffe';bar gastronomici e simili;genere merceol.autorizz.sanit.,54, 018, accesso esterno
bar-caffe',bar caffe,VIA,VALLARSA,1,4142,5,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda;giochi legge 388/2000,53, 018, accesso esterno
bar-caffe',bar caffe,VIA,VODICE,1,6552,7,somministrazione,somministrazione,misto,bar-caffe';cibi cotti preconfezionati;genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda,32, 252, accesso esterno
bar-caffe',bar caffe,VIA,WASHINGTON GIORGIO,107,6111,6,somministrazione,somministrazione,misto,bar gastronomici e simili;tavola fredda;genere merceol.autorizz.sanit.;bar-caffe',40, 004, accesso esterno
bar-caffe',bar caffe,VIA,WASHINGTON GIORGIO,76,6111,7,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';bar gastronomici e simili;tavola fredda;prodotti di gastronomia,46, 286, accesso esterno
bar-caffe',bar caffe,VLE,ABRUZZI,16,2177,3,somministrazione,somministrazione,al banco,bar gastronomici e simili;bar-caffe';cibi cotti preconfezionati;genere merceol.autorizz.sanit.;tavola fredda,34, 125, accesso esterno
bar-caffe',bar caffe,VLE,BLIGNY,24,4045,5,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';prodotti di gastronomia,105, 102, accesso esterno
bar-caffe',bar caffe,VLE,BLIGNY,26,4045,5,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda;cibi cotti preconfezionati,92, 103, accesso esterno
bar-caffe',bar caffe,VLE,BRIANZA,19,2263,3,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda;bar gastronomici e simili;cibi cotti preconfezionati,36, 004, accesso esterno
bar-caffe',bar caffe,VLE,CALDARA EMILIO,6,4036,1,somministrazione,somministrazione,misto,cibi cotti preconfezionati;bar gastronomici e simili;genere merceol.autorizz.sanit.;bar-caffe',169, 160, accesso esterno
bar-caffe',bar caffe,VLE,CERTOSA,181,7174,8,somministrazione,somministrazione,misto,bar gastronomici e simili;genere merceol.autorizz.sanit.;bar-caffe',41, 219, accesso esterno
bar-caffe',bar caffe,VLE,CERTOSA,99,7174,8,somministrazione,somministrazione,al banco,"bar gastronomici e simili;tavola fredda;wine,birr.,pub enot.,caff.,the;bar-caffe';cibi cotti preconfezionati;genere merceol.autorizz.sanit.",36, 230, accesso esterno
bar-caffe',bar caffe,VLE,CONI ZUGNA,14,5110,7,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';bar gastronomici e simili;cibi cotti preconfezionati;tavola fredda,70, 281, accesso esterno
bar-caffe',bar caffe,VLE,CONI ZUGNA,43,5110,1,somministrazione,somministrazione,misto,prodotti di gastronomia;genere merceol.autorizz.sanit.;bar-caffe';bar gastronomici e simili,25, 022, accesso esterno
bar-caffe',bar caffe,VLE,CORSICA,38,3262,4,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda;bar gastronomici e simili,37, 268, accesso esterno
bar-caffe',bar caffe,VLE,ESPINASSE CARLO,137,7390,8,somministrazione,somministrazione,misto,"genere merceol.autorizz.sanit.;bar-caffe';tav.calde,self service,fast f.;tavola fredda;prodotti di gastronomia;bar gastronomici e simili",70, 103, accesso esterno
bar-caffe',bar caffe,VLE,FAENZA,18,5350,6,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda;bar gastronomici e simili,105, 062, accesso esterno
bar-caffe',bar caffe,VLE,FAENZA,25,5350,6,somministrazione,somministrazione,al banco,bar-caffe';tavola fredda;genere merceol.autorizz.sanit.,31, 074, accesso esterno
bar-caffe',bar caffe,VLE,FAMAGOSTA,19,5353,6,somministrazione,somministrazione,al banco,bar gastronomici e simili;genere merceol.autorizz.sanit.;bar-caffe';tavola fredda,86, 066, accesso esterno
bar-caffe',bar caffe,VLE, FORLANINI ENRICO,050/6,4120,4,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda,52, 044, accesso esterno
bar-caffe',bar caffe,VLE,GIOVANNI DA CERMENATE,035/a,5261,5,somministrazione,somministrazione,al tavolo,bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili;giochi legge 388/2000,90, 010, accesso esterno
bar-caffe',bar caffe,VLE,MOLISE,49,3178,4,somministrazione,somministrazione,al banco,bar-caffe';tavola fredda;bar gastronomici e simili;genere merceol.autorizz.sanit.,33, 086, accesso esterno
bar-caffe',bar caffe,VLE,MOLISE,51,3178,4,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;tavola fredda;bar-caffe',58, 083, accesso esterno
bar-caffe',bar caffe,VLE,MONTE CENERI,78,7176,8,somministrazione,somministrazione,al banco,prodotti di gastronomia;genere merceol.autorizz.sanit.;bar-caffe';tavola fredda;bar gastronomici e simili,24, 316, accesso esterno
bar-caffe',bar caffe,VLE,MONTE GRAPPA,18,1101,9,somministrazione,somministrazione,al banco,"wine,birr.,pub enot.,caff.,the;bar-caffe';disco-piano-americ.bar serali;genere merceol.autorizz.sanit.",50, 324, accesso esterno
bar-caffe',bar caffe,VLE,MONZA,212,2274,2,somministrazione,somministrazione,misto,"tav.calde,self service,fast f.;bar-caffe';giochi legge 388/2000;genere merceol.autorizz.sanit.;tavola calda",107, 101, accesso esterno
bar-caffe',bar caffe,VLE,MURILLO S.B.,1,6551,7,somministrazione,somministrazione,al banco,bar-caffe';genere merceol.autorizz.sanit.;cibi cotti preconfezionati;bar gastronomici e simili,72, 255, accesso esterno
bar-caffe',bar caffe,VLE,PASUBIO,3,1112,1,somministrazione,somministrazione,al banco,"bar-caffe';tavola fredda;genere merceol.autorizz.sanit.;wine,birr.,pub enot.,caff.,the;cibi cotti preconfezionati",158, 318, accesso esterno
bar-caffe',bar caffe,VLE,ROMAGNA,59,3102,3,somministrazione,somministrazione,misto,bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda,60, 110, accesso esterno
bar-caffe',bar caffe,VLE,SABOTINO,19,4046,5,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar gastronomici e simili;bar-caffe';prodotti di gastronomia,60, 092, accesso esterno
bar-caffe',bar caffe,VLE,SAURO NAZARIO,14,1175,2,somministrazione,somministrazione,misto,bar-caffe';cibi cotti preconfezionati;genere merceol.autorizz.sanit.;tavola fredda,57, 180, accesso esterno
bar-caffe',bar caffe,VLE,TESTI FULVIO,90,1441,9,somministrazione,somministrazione,al banco,bar-caffe';cibi cotti preconfezionati;giochi legge 388/2000;bar gastronomici e simili;genere merceol.autorizz.sanit.,43, 145, accesso esterno
bar-caffe',bar caffe,VLE,TIBALDI,48,5234,5,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;tavola fredda;bar-caffe';prodotti di gastronomia,34, 165, accesso esterno
bar-caffe',bar caffe,VLE,TIBALDI,70,5234,5,somministrazione,somministrazione,al banco,bar-caffe';cibi cotti preconfezionati;genere merceol.autorizz.sanit.;bar gastronomici e simili,36, 167, accesso esterno
bar-caffe',bar caffe,VLE,UMBRIA,64,3145,4,somministrazione,somministrazione,misto,bar-caffe';cibi cotti preconfezionati;genere merceol.autorizz.sanit.;tavola fredda,187, 080, accesso esterno
bar-caffe',bar caffe,VLO,PANTALEONI DIOMEDE,4,1653,9,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;prodotti di gastronomia;bar gastronomici e simili;bar-caffe';tavola fredda,45,, accesso esterno
bar-caffe',bar-caffe,VIA,GIAMBELLINO,34,5136,6,somministrazione,somministrazione,al banco,tavola fredda;bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili,74, 150, accesso esterno
bar-caffe',bar-caffe,VIA,SANTA RITA DA CASCIA,003/b,5301,6,somministrazione/minuto,somministrazione,al banco,bar-caffe';tavola fredda;genere merceol.autorizz.sanit.;bar gastronomici e simili;prodotti di gastronomia,70, 017, accesso esterno
bar-caffe',bar caffe  ain asserdoun,VIA,RAVENNA,18,4281,4,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda,61, 123, accesso esterno
bar-caffe',bar caffe arcobaleno,VIA,SFORZA ASCANIO,29,5201,5,somministrazione,somministrazione,misto,"bar-caffe';tavola fredda;genere merceol.autorizz.sanit.;pizzeria;ristorante, trattoria, osteria",126, 094, accesso esterno
bar-caffe',bar caffe controvento,VIA,BREMBO,7,4219,5,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda;bar-caffe';cibi cotti preconfezionati,36, 016, accesso esterno
bar-caffe',bar caffe c/o torre branc,VIA,CANONICA LUIGI,25,7121,1,somministrazione,somministrazione,al banco,"ristorante;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;bar-caffe';bar gastronomici e simili",270,, accesso esterno
bar-caffe',bar caffe  del conte,VIA,CABELLA BARTOLOMEO,37,6778,7,somministrazione,somministrazione,al banco,bar pasticc.gelat.crem.creper.;bar-caffe';tavola fredda;genere merceol.autorizz.sanit.;bar gastronomici e simili,36, 151, accesso esterno
bar-caffe',bar caffe fiamingo,VIA,ARSIA,7,7472,8,somministrazione/minuto,minuto,misto,bar gastronomici e simili;bar-caffe';genere merceol.autorizz.sanit.,114, 089, accesso esterno
bar-caffe',bar caffe  fuori orario,VLE,MONZA,117,2274,2,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda,37, 292, accesso esterno
bar-caffe',bar caffe  hardy,VIA,SEBENICO,14,1131,9,somministrazione,somministrazione,misto,bar gastronomici e simili;lett. giochi leciti e societa';cibi cotti preconfezionati;bar-caffe';genere merceol.autorizz.sanit.,35, 280, accesso esterno
bar-caffe',bar caffe  il fior fiore,CSO,VENTIDUE MARZO,63,3074,4,somministrazione,somministrazione,al banco,bar-caffe';cibi cotti preconfezionati;genere merceol.autorizz.sanit.,72, 252, accesso esterno
bar-caffe',bar caffe  italia,VLE,PREMUDA,20,3063,4,somministrazione,somministrazione,misto,bar gastronomici e simili;tavola fredda;genere merceol.autorizz.sanit.;cibi cotti preconfezionati;bar-caffe',122, 014, accesso esterno
bar-caffe',bar caffe  jesi,VIA,GIAMBELLINO,155,5136,6,somministrazione,somministrazione,al banco,bar-caffe';tavola fredda,46, 157, accesso esterno
bar-caffe',bar caffe  jesi,VIA,LODOVICO IL MORO,139,5290,6,somministrazione/minuto,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda;giochi legge 388/2000,30, 037, accesso esterno
bar-caffe',bar caffe  latteria,VIA,F.LLI ANTONA TRAVERSI,23,7354,8,somministrazione/minuto,somministrazione,al banco,bar-caffe';tavola fredda;bar gastronomici e simili,60, 059, accesso esterno
bar-caffe',bar caffe  latteria,VIA,GROSSICH ANTONIO,17,2576,3,somministrazione,minuto,al banco,bar-caffe';tavola fredda;genere merceol.autorizz.sanit.;bar gastronomici e simili;cibi cotti preconfezionati,34, 080, accesso esterno
bar-caffe',bar caffe messina,VIA,MESSINA,1,7211,8,somministrazione,somministrazione,misto,giochi legge 388/2000;bar pasticc.gelat.crem.creper.;bar-caffe';genere merceol.autorizz.sanit.;cibi cotti preconfezionati,95, 074, accesso esterno
bar-caffe',bar caffe petrarca,VIA,FARA GUSTAVO,28,1183,2,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar gastronomici e simili;cibi cotti preconfezionati;bar-caffe';tavola fredda,84, 290, accesso esterno
bar-caffe',bar caffe  samarani,PZA,DIAZ ARMANDO,6,339,1,somministrazione,somministrazione,misto,"genere merceol.autorizz.sanit.;tavola fredda;tavola calda;bar-caffe';ristorante, trattoria, osteria",202, 448, accesso esterno
bar-caffe',bar caffe  si,VIA,CASATI GABRIO,1,625,1,somministrazione,somministrazione,al banco,bar gastronomici e simili;tavola calda;tavola fredda;bar-caffe';genere merceol.autorizz.sanit.,60, 410, accesso esterno
bar-caffe',bar caffe stradivari,VIA,STRADIVARI ANTONIO,1,2239,3,somministrazione,somministrazione,al banco,bar gastronomici e simili;bar-caffe';cibi cotti preconfezionati;genere merceol.autorizz.sanit.,32, 010, accesso esterno
bar-caffe',bar caffe susa,VIA,DALL'ONGARO FRANCESCO,31,3287,4,somministrazione,somministrazione,misto,bar-caffe',215, 214, accesso esterno
bar-caffe',bar caffe  tabacchi,VIA,REGALDI GIUSEPPE,14,1578,9,somministrazione/minuto,minuto,al banco,lett. giochi leciti e societa';genere merceol.autorizz.sanit.;bar-caffe',68, 149, accesso esterno
bar-caffe',bar caffe  tavola calda,CSO,SEMPIONE,1,7137,1,somministrazione,somministrazione,misto,"bar-caffe';genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;tavola calda",124, 138, accesso esterno
bar-caffe',bar caffe tavola calda,VIA,PONTI ETTORE,21,5297,6,somministrazione,somministrazione,misto,bar-caffe';tavola fredda;tavola calda;genere merceol.autorizz.sanit.,130,, accesso esterno
bar-caffe',bar caffe  tavola fredda,VIA,CICERI VISCONTI LAURA,10,3220,4,somministrazione,somministrazione,misto,tavola fredda;bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili,45, 081, accesso esterno
bar-caffe',bar caffe  tavola fredda,VIA,POERIO CARLO,43,3181,3,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';giochi legge 388/2000;prodotti di gastronomia;bar gastronomici e simili,35, 155, accesso esterno
bar-caffe',bar caffe tavola fredda,VIA,CORREGGIO,50,6287,7,somministrazione,somministrazione,al banco,bar-caffe';bar gastronomici e simili,32, 205, accesso esterno
bar-caffe',bar caffe tavola fredda,VIA,VARESINA,35,7290,8,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda;bar gastronomici e simili,87, 265, accesso esterno
bar-caffe',bar caffe tavola fredda,VLE,ABRUZZI,33,2177,3,somministrazione,somministrazione,misto,"bar-caffe';genere merceol.autorizz.sanit.;wine,birr.,pub enot.,caff.,the;tavola fredda",99,, accesso esterno
bar-caffe',bar caffeteria,VIA,SOLARI ANDREA,43,5111,6,somministrazione,somministrazione,misto,bar gastronomici e simili;genere merceol.autorizz.sanit.;bar-caffe';cibi cotti preconfezionati,38, 023, accesso esterno
bar-caffe',bar caffe trattoria,VIA,CENISIO,37,7184,8,somministrazione,somministrazione,misto,"trattoria;bar-caffe';ristorante, trattoria, osteria",185, 032, accesso esterno
bar-caffe',bar caffetteria,CSO,SAN GOTTARDO,51,5203,5,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';cibi cotti preconfezionati;bar gastronomici e simili,55, 128, accesso esterno
bar-caffe',bar caffetteria,VIA,BALDINUCCI FILIPPO,6,1267,9,somministrazione,somministrazione,misto,bar-caffe';cibi cotti preconfezionati;genere merceol.autorizz.sanit.,59, 042, accesso esterno
bar-caffe',bar caffetteria,VIA,GASSENDI PIETRO,2,7260,8,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';bar gastronomici e simili;cibi cotti preconfezionati,24, 298, accesso esterno
bar-caffe',bar caffetteria,VIA,LECCHI ANTONIO,19,5263,6,somministrazione,somministrazione,al banco,bar-caffe';prodotti di gastronomia;tavola fredda;genere merceol.autorizz.sanit.;bar gastronomici e simili,46, 083, accesso esterno
bar-caffe',bar caffetteria,VIA,MAC MAHON,119,7221,8,somministrazione,somministrazione,misto,bar-caffe';tavola fredda;genere merceol.autorizz.sanit.;giochi legge 388/2000,48, 268, accesso esterno
bar-caffe',bar caffetteria,VIA,MONDOVI',4,2515,2,somministrazione,somministrazione,al banco,bar-caffe';genere merceol.autorizz.sanit.;giochi legge 388/2000;tavola fredda,40, 232, accesso esterno
bar-caffe',bar caffetteria,VIA,RIPAMONTI GIUSEPPE,5,4066,5,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda;bar gastronomici e simili,58, 092, accesso esterno
bar-caffe',bar caffetteria,VIA,THAON DI REVEL GENOVA,28,1172,9,somministrazione,somministrazione,al banco,prodotti di gastronomia;tavola fredda;bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili,68, 212, accesso esterno
bar-caffe',bar caffetteria,VLE,CERTOSA,15,7174,8,somministrazione,somministrazione,al banco,tavola fredda;bar gastronomici e simili;bar-caffe';genere merceol.autorizz.sanit.,29, 330, accesso esterno
bar-caffe',bar caffetteria,VLE,MONZA,315,2274,2,somministrazione,somministrazione,al banco,tavola fredda;bar gastronomici e simili;bar-caffe';cibi cotti preconfezionati;genere merceol.autorizz.sanit.,13, 030, accesso esterno
bar-caffe',bar caffetteria jakpot,VIA,PALMI,2,6699,7,somministrazione,somministrazione,al banco,bar-caffe';tavola fredda;genere merceol.autorizz.sanit.;bar gastronomici e simili;giochi legge 388/2000,122, 154, accesso esterno
bar-caffe',bar caffetteria milano,VIA,PINTURICCHIO,19,2195,3,somministrazione,somministrazione,al banco,bar-caffe';bar gastronomici e simili,30,, accesso esterno
bar-caffe',bar caffe venezia,VIA,PALAZZI LAZZARO,6,2171,3,somministrazione,somministrazione,misto,prodotti di gastronomia;bar-caffe';genere merceol.autorizz.sanit.,50, 124, accesso esterno
bar-caffe',bar caffex,VIA,SOTTOCORNO PASQUALE,1,3152,4,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda;bar-caffe',43, 010, accesso esterno
bar-caffe',bar caipiroska,PZA,SIRE RAUL,1,2391,2,somministrazione,somministrazione,al banco,bar gastronomici e simili;bar-caffe';cibi cotti preconfezionati;genere merceol.autorizz.sanit.;tavola fredda,54, 318, accesso esterno
bar-caffe',bar california,VIA,CALIFORNIA,9,6101,7,somministrazione,somministrazione,al banco,bar gastronomici e simili;tavola fredda;bar-caffe';genere merceol.autorizz.sanit.,31, 299, accesso esterno
bar-caffe',bar capriccio,PZA,BONOMELLI GEREMIA,10,4150,5,somministrazione,somministrazione,al banco,bar-caffe';cibi cotti preconfezionati;giochi legge 388/2000;genere merceol.autorizz.sanit.;tavola fredda;bar gastronomici e simili,80, 018, accesso esterno
bar-caffe',bar capriccio,VIA,MEDA GIUSEPPE,14,5242,5,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar gastronomici e simili;bar-caffe';tavola fredda,85, 160, accesso esterno
bar-caffe',bar carducci,VIA,CARDUCCI GIOSUE',12,602,1,somministrazione,somministrazione,al banco,bar-caffe';genere merceol.autorizz.sanit.;tavola fredda;bar gastronomici e simili,24, 287, accesso esterno
bar-caffe',bar carillon,LGO,QUINTO ALPINI,2,6346,1,somministrazione,somministrazione,al banco,giochi legge 388/2000;bar gastronomici e simili;bar-caffe';cibi cotti preconfezionati;genere merceol.autorizz.sanit.,77, 074, accesso esterno
bar-caffe',bar caruso,VIA,CORREGGIO,12,6287,7,somministrazione,somministrazione,al tavolo,genere merceol.autorizz.sanit.;bar-caffe';bar gastronomici e simili;tavola fredda,49, 189, accesso esterno
bar-caffe',bar cavour,VIA,TURATI FILIPPO,7,1053,1,somministrazione,somministrazione,misto,bar-caffe';tavola fredda;genere merceol.autorizz.sanit.;prodotti di gastronomia;bar gastronomici e simili,48, 092, accesso esterno
bar-caffe',bar centro,CSO,MATTEOTTI GIACOMO,3,218,1,somministrazione,somministrazione,misto,bar-caffe';tavola fredda;genere merceol.autorizz.sanit.;prodotti di gastronomia,31, 362, accesso esterno
bar-caffe',bar certosa,VLE,CERTOSA,294,7174,8,somministrazione,somministrazione,misto,tavola fredda;bar-caffe';genere merceol.autorizz.sanit.;ristorante,59, 141, accesso esterno
bar-caffe',bar chez martino,VIA,RUBENS PIETRO,8,6597,7,somministrazione,somministrazione,al banco,bar gastronomici e simili;tavola fredda;genere merceol.autorizz.sanit.;bar-caffe';giochi legge 388/2000,33, 002, accesso esterno
bar-caffe',bar chiard,VIA,ROVETTA GEROLAMO,38,2333,2,somministrazione/minuto,somministrazione,misto,giochi legge 388/2000;bar-caffe';tavola fredda;genere merceol.autorizz.sanit.;bar gastronomici e simili,48, 189, accesso esterno
bar-caffe',bar christian,VIA, LITTA MODIGNANI ALESSANDRO,095/a,1441,9,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar gastronomici e simili;bar-caffe';tavola fredda;cibi cotti preconfezionati,59, 074, accesso esterno
bar-caffe',bar cilea,VIA,CILEA FRANCESCO,2,7526,8,somministrazione,somministrazione,al banco,bar-caffe';genere merceol.autorizz.sanit.;giochi legge 388/2000,25, 013, accesso esterno
bar-caffe',bar cin-cin.... nato,VIA,LAZZARETTO,16,2112,3,somministrazione,somministrazione,al tavolo,genere merceol.autorizz.sanit.;bar-caffe';bar gastronomici e simili;prodotti di gastronomia,64, 099, accesso esterno
bar-caffe',bar cinque vie,VIA,DEL BOLLO,8,568,1,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria;bar gastronomici e simili;tavola calda;bar-caffe'",69, 432, accesso esterno
bar-caffe',bar circo,VIA,CIRCO,1,557,1,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;prodotti di gastronomia;giochi legge 388/2000;bar-caffe',77, 335, accesso esterno
bar-caffe',bar city,VIA,GAMBOLOITA,7,4160,4,somministrazione/minuto,minuto,misto,genere merceol.autorizz.sanit.;tavola fredda;bar-caffe',39, 055, accesso esterno
bar-caffe',bar clarissa,VLE,SABOTINO,10,4046,5,somministrazione,somministrazione,misto,bar-caffe';prodotti di gastronomia;genere merceol.autorizz.sanit.;tavola fredda,52, 171, accesso esterno
bar-caffe',bar classic,VIA,CARDINAL FEDERICO,7,577,1,somministrazione/minuto,somministrazione,misto,bar-caffe';genere merceol.autorizz.sanit.;cibi cotti preconfezionati,60, 441, accesso esterno
bar-caffe',bar colonna,VIA,COLONNA VITTORIA,10,6284,7,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar gastronomici e simili;bar-caffe';cibi cotti preconfezionati,74, 175, accesso esterno
bar-caffe',bar colonna t.f.,VIA,COLONNA MARCO ANTONIO,38,7158,8,somministrazione,somministrazione,misto,bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili,110, 335, accesso esterno
bar-caffe',bar colt,PLE,LAGOSTA,9,1155,9,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar gastronomici e simili;cibi cotti preconfezionati;bar-caffe',44, 216, accesso esterno
bar-caffe',bar  condor,CSO,DI PORTA NUOVA,34,1044,1,somministrazione,somministrazione,al banco,"bar-caffe';bar gastronomici e simili;cibi cotti preconfezionati;tav.calde,self service,fast f.;tavola fredda;tavola calda",42, 088, accesso esterno
bar-caffe',bar cordusio,VIA,CORDUSIO,2,627,1,somministrazione,somministrazione,al banco,bar gastronomici e simili;genere merceol.autorizz.sanit.;bar-caffe';cibi cotti preconfezionati,45, 410, accesso esterno
bar-caffe',bar cosmai,VLE,MONZA,76,2274,2,somministrazione,somministrazione,al banco,prodotti di gastronomia;bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili,63, 312, accesso esterno
bar-caffe',bar country,VLE,GRAN SASSO,23,2243,3,somministrazione,somministrazione,misto,prodotti di gastronomia;bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda,20, 041, accesso esterno
bar-caffe',bar crash,VIA,CRESCENZAGO,32,2396,3,somministrazione/minuto,somministrazione,al banco,prodotti di gastronomia;giochi legge 388/2000;bar-caffe',143, 075, accesso esterno
bar-caffe',bar crema tabacchi,VIA,CREMA,19,4061,5,somministrazione,somministrazione,al banco,prodotti di gastronomia;bar-caffe';bar gastronomici e simili;tavola fredda;giochi legge 388/2000;genere merceol.autorizz.sanit.,128, 195, accesso esterno
bar-caffe',bar cristal,VIA,PRINCIPE EUGENIO,15,7223,8,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar gastronomici e simili;bar-caffe';bar pasticc.gelat.crem.creper.;prodotti di gastronomia,63, 311, accesso esterno
bar-caffe',bar cristal,VLE,MOLISE,54,3178,4,somministrazione,somministrazione,misto,"bar-caffe';ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;tavola calda",118, 089, accesso esterno
bar-caffe',bar dada s 3,VIA,PARMIGIANINO,14,6599,7,somministrazione,somministrazione,al banco,bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda,36, 207, accesso esterno
bar-caffe',bar da francesca,VIA,LEONCAVALLO RUGGERO,31,2389,2,somministrazione,somministrazione,al banco,bar gastronomici e simili;genere merceol.autorizz.sanit.;cibi cotti preconfezionati;tavola fredda;bar-caffe',28, 338, accesso esterno
bar-caffe',bar de angeli,PZA,DE ANGELI ERNESTO,2,6276,7,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda,21, 212, accesso esterno
bar-caffe',bar dei bossi,PTA,BOSSI MAURILIO,4,116,1,somministrazione,somministrazione,misto,bar gastronomici e simili;genere merceol.autorizz.sanit.;bar-caffe';cibi cotti preconfezionati,67, 367, accesso esterno
bar-caffe',bar dei due g,VLE,REGINA MARGHERITA,1,3059,1,somministrazione,somministrazione,al banco,"genere merceol.autorizz.sanit.;bar-caffe';cibi cotti preconfezionati;tavola fredda;tav.calde,self service,fast f.;bar gastronomici e simili;ristorante",99, 036, accesso esterno
bar-caffe',bar del 104,VIA,CANDIANI GIUSEPPE,104,1242,9,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';ristorante;bar gastronomici e simili,80, 015, accesso esterno
bar-caffe',bar del borgo,CSO,SAN GOTTARDO,9,5203,5,somministrazione/minuto,somministrazione,al banco,bar-caffe';bar gastronomici e simili,41, 095, accesso esterno
bar-caffe',bar del cardinale,CSO,MAGENTA,48,604,1,somministrazione/minuto,somministrazione,misto,tavola fredda;genere merceol.autorizz.sanit.;bar-caffe';cibi cotti preconfezionati,58, 288, accesso esterno
bar-caffe',bar del conte,VIA,NOVARA,141,6624,7,somministrazione,somministrazione,al banco,bar gastronomici e simili;bar-caffe';tavola fredda;genere merceol.autorizz.sanit.,68, 036, accesso esterno
bar-caffe',bar del corso,CSO,GARIBALDI GIUSEPPE,127,1010,1,somministrazione/minuto,somministrazione,al banco,bar gastronomici e simili;bar-caffe';genere merceol.autorizz.sanit.;prodotti di gastronomia,27, 004, accesso esterno
bar-caffe',bar del corso,CSO,INDIPENDENZA,12,3118,4,somministrazione,somministrazione,al banco,genere merceol.autorizz.sanit.;bar-caffe';bar gastronomici e simili;tavola fredda;giochi legge 388/2000,37, 005, accesso esterno
bar-caffe',bar del corso,CSO,VENTIDUE MARZO,4,3074,4,somministrazione,somministrazione,al banco,bar gastronomici e simili;cibi cotti preconfezionati;genere merceol.autorizz.sanit.;tavola fredda;bar-caffe',74, 043, accesso esterno
bar-caffe',bar del corso,CSO,VERCELLI,3,6193,7,somministrazione,somministrazione,misto,bar-caffe';genere merceol.autorizz.sanit.;bar gastronomici e simili;cibi cotti preconfezionati,35, 236, accesso esterno
bar-caffe',bar delfino blu,VLE,BODIO LUIGI,16,1237,9,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda;cibi cotti preconfezionati,52, 078, accesso esterno
